Unnamed: 0,levels,homeType,postingSeason,city,yearBuilt,livingAreaValue,bathrooms,bedrooms,parking,hasGarage,pool,spa,Age,price
1,1,SINGLE_FAMILY,summer,Pinole,1958,1671.0,2.0,3.0,1,1,0,0,64,675000.0
2,1,SINGLE_FAMILY,summer,Pinole,1959,1414.0,2.0,3.0,1,1,0,0,63,649000.0
3,2,SINGLE_FAMILY,summer,Pinole,1908,1336.0,2.0,3.0,1,1,0,1,114,599000.0
5,1,SINGLE_FAMILY,summer,Pinole,1958,1413.0,2.0,3.0,1,1,0,0,64,575000.0
6,2,SINGLE_FAMILY,summer,Pinole,2000,2278.0,3.0,5.0,1,1,0,0,22,888000.0
7,1,CONDO,summer,Pinole,1988,826.0,1.0,1.0,1,1,0,0,34,315000.0
8,1,CONDO,summer,Pinole,1991,996.0,2.0,2.0,1,1,0,1,31,399000.0
9,2,SINGLE_FAMILY,summer,Pinole,1972,2535.0,3.0,5.0,1,1,0,0,50,998000.0
10,1,SINGLE_FAMILY,summer,Pinole,1966,1390.0,2.0,3.0,1,1,0,0,56,880000.0
11,1,SINGLE_FAMILY,spring,Pinole,2021,1875.0,3.0,4.0,1,1,0,0,1,895000.0
12,1,SINGLE_FAMILY,spring,Pinole,1954,1045.0,2.0,3.0,1,1,0,0,68,679950.0
17,1,CONDO,summer,North Hollywood,1962,750.0,1.0,2.0,1,1,0,0,60,274950.0
18,1,SINGLE_FAMILY,summer,North Hollywood,1976,1177.0,1.0,3.0,1,1,0,0,46,645000.0
19,1,SINGLE_FAMILY,summer,North Hollywood,1952,2325.0,4.0,5.0,1,1,0,0,70,1200000.0
21,0,SINGLE_FAMILY,summer,North Hollywood,1951,1435.0,2.0,3.0,1,1,0,0,71,650000.0
22,1,SINGLE_FAMILY,summer,North Hollywood,1953,1164.0,2.0,3.0,1,1,1,0,69,749000.0
23,1,SINGLE_FAMILY,summer,North Hollywood,1942,1322.0,2.0,4.0,1,0,0,0,80,749000.0
24,1,SINGLE_FAMILY,summer,North Hollywood,1936,1440.0,2.0,5.0,0,0,0,0,86,1050000.0
26,1,SINGLE_FAMILY,summer,North Hollywood,1962,1896.0,3.0,3.0,1,1,1,0,60,869999.0
27,1,CONDO,summer,North Hollywood,1967,665.0,1.0,1.0,1,0,0,0,55,315000.0
28,1,SINGLE_FAMILY,summer,North Hollywood,1959,2060.0,2.0,4.0,1,1,0,0,63,879999.0
29,1,SINGLE_FAMILY,summer,North Hollywood,1958,1088.0,1.0,2.0,1,1,0,0,64,720000.0
30,1,SINGLE_FAMILY,summer,North Hollywood,1962,1852.0,3.0,4.0,0,0,1,0,60,985000.0
31,2,CONDO,summer,North Hollywood,1965,824.0,2.0,2.0,1,1,0,0,57,319000.0
